links,title,subur_name,unit_mly_jan,unit_mly_feb,unit_mly_mar,unit_mly_apr,unit_mly_may,unit_mly_jun,unit_mly_jul,unit_mly_aug,unit_mly_sep,unit_mly_oct,unit_mly_nov,unit_mly_dec,unit_mly_p_jan,unit_mly_p_feb,unit_mly_p_mar,unit_mly_p_apr,unit_mly_p_may,unit_mly_p_jun,unit_mly_p_jul,unit_mly_p_aug,unit_mly_p_sep,unit_mly_p_oct,unit_mly_p_nov,unit_mly_p_dec,unit_mly_nos_jan,unit_mly_nos_feb,unit_mly_nos_mar,unit_mly_nos_apr,unit_mly_nos_may,unit_mly_nos_jun,unit_mly_nos_jul,unit_mly_nos_aug,unit_mly_nos_sep,unit_mly_nos_oct,unit_mly_nos_nov,unit_mly_nos_dec
https://www.realestate.com.au/neighbourhoods/East%20Perth-6004-wa,,,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,600000,581000,563750,570000,570000,557000,555000,552500,557500,570000,557500,557500,314,298,300,300,293,281,275,268,264,253,232,232
https://www.realestate.com.au/neighbourhoods/Applecross-6153-wa,Applecross,,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,691500,674500,657500,700000,728000,742750,720000,770000,807500,830000,830000,830000,46,43,42,39,43,46,43,39,38,37,37,37
https://www.realestate.com.au/neighbourhoods/Ardross-6153-wa,Ardross,,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,665000,752000,745000,745000,794500,844000,807000,807000,770000,770000,770000,770000,5,4,5,5,4,3,4,4,3,3,3,3
https://www.realestate.com.au/neighbourhoods/Armadale-6112-wa,Armadale,,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,300000,300000,300000,305000,306000,306000,306000,309000,307000,299000,299000,299000,77,80,80,81,79,73,71,63,60,52,47,47
https://www.realestate.com.au/neighbourhoods/Ashby-6065-wa,Ashby,,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,487500,487500,487500,450000,450000,450000,450000,450000,450000,450000,450000,450000,2,2,2,1,1,1,1,1,1,1,1,1
https://www.realestate.com.au/neighbourhoods/Ascot-6104-wa,Ascot,,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,485000,498000,482000,452500,450000,422500,390000,392500,392500,395000,395000,395000,9,9,10,14,15,16,13,14,14,13,13,13
links,title,subur_name,unit_mly_jan,unit_mly_feb,unit_mly_mar,unit_mly_apr,unit_mly_may,unit_mly_jun,unit_mly_jul,unit_mly_aug,unit_mly_sep,unit_mly_oct,unit_mly_nov,unit_mly_dec,unit_mly_p_jan,unit_mly_p_feb,unit_mly_p_mar,unit_mly_p_apr,unit_mly_p_may,unit_mly_p_jun,unit_mly_p_jul,unit_mly_p_aug,unit_mly_p_sep,unit_mly_p_oct,unit_mly_p_nov,unit_mly_p_dec,unit_mly_nos_jan,unit_mly_nos_feb,unit_mly_nos_mar,unit_mly_nos_apr,unit_mly_nos_may,unit_mly_nos_jun,unit_mly_nos_jul,unit_mly_nos_aug,unit_mly_nos_sep,unit_mly_nos_oct,unit_mly_nos_nov,unit_mly_nos_dec
https://www.realestate.com.au/neighbourhoods/East%20Perth-6004-wa,,,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,600000,581000,563750,570000,570000,557000,555000,552500,557500,570000,557500,557500,314,298,300,300,293,281,275,268,264,253,232,232
https://www.realestate.com.au/neighbourhoods/Applecross-6153-wa,Applecross,,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,691500,674500,657500,700000,728000,742750,720000,770000,807500,830000,830000,830000,46,43,42,39,43,46,43,39,38,37,37,37
https://www.realestate.com.au/neighbourhoods/Ardross-6153-wa,Ardross,,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,665000,752000,745000,745000,794500,844000,807000,807000,770000,770000,770000,770000,5,4,5,5,4,3,4,4,3,3,3,3
https://www.realestate.com.au/neighbourhoods/Armadale-6112-wa,Armadale,,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,300000,300000,300000,305000,306000,306000,306000,309000,307000,299000,299000,299000,77,80,80,81,79,73,71,63,60,52,47,47
https://www.realestate.com.au/neighbourhoods/Ashby-6065-wa,Ashby,,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,487500,487500,487500,450000,450000,450000,450000,450000,450000,450000,450000,450000,2,2,2,1,1,1,1,1,1,1,1,1
https://www.realestate.com.au/neighbourhoods/Ascot-6104-wa,Ascot,,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-21,485000,498000,482000,452500,450000,422500,390000,392500,392500,395000,395000,395000,9,9,10,14,15,16,13,14,14,13,13,13
